id,year,mode,language,finweigh,general,stpvnbrd,swcndnbrd,cityligh,wtrswr,water,sewer,swclnbrd,stclnbrd,stswc,recparsy,parkvis,athfield,recpart,parkfa,recpract,parkgr,parklp,parkcl,libsystm,libmai,libbra,libonlin,libbo,onlibsvc,netlibsvc,libsta,conmalib,connelib,trspwlk,trsppub,trspbike,trsptaxi,trspdaln,trspcpl,trspptns,trspuber,munovr,mun12mth,muntim,muncle,munsaf,munmgmtcro,muncou,safdnb,safnnb,hrd311,cont311,use311sv,info311,infowebm,svc311,svcwebmo,phone311,web311,kids,k0to5,k6to18,kprisch,kpubsch,knosch,kqschl,dhouse,ownrenhm,dlivedsf,movesf,dincome,dage,gender,dsexornt,dethnic,primlang_1,primlang_2,primlang_3,primlang_4,deduc,disablephys,disablement,zipcode,district,mixed_1,mixed_2,mixed_3,mixed_4,issue1,issue2,issue3
201510001,2015,1,1,0.695734024,5,3,3,4,5,,,5,5,,5,5,4,2,,,5,,,,1,5,1,4,,6,5,6,5,,,,,,,,,,1,4,4,5,1,5,,,1,1,1,,,,,,,2,,,,,3,,1,3,6,4,6,6,1,3,4,1,,,,4,2,2,,8,,,,,,,
201510002,2015,1,1,0.695734024,3,,,,,,,,,,3,2,6,2,,,4,,,,1,2,1,2,,6,4,,5,4,2,1,2,6,2,1,2,,1,3,2,3,3,4,5,3,2,,,,,,,,,2,,,,,3,,1,2,3,4,6,6,2,3,4,1,,,,4,2,2,,2,,,,,,,
201510003,2015,1,1,0.695734024,4,,,,,,,,,,7,1,,2,,,,,,,1,1,1,,,,,,,1,5,1,1,1,1,1,1,,1,5,5,5,1,5,5,6,2,,,,,,,,,2,,,,,3,,1,2,4,4,2,6,2,3,4,1,,,,3,1,2,,5,,,,,,,
201510004,2015,1,1,0.740436971,3,,,,,,,,,,3,5,4,2,,,5,,,,1,5,5,5,4,6,5,3,3,5,5,1,2,2,4,1,1,,1,4,3,3,4,4,5,5,1,2,1,4,,4,,,,2,,,,,3,,2,2,6,3,3,5,2,3,4,1,,,,4,1,2,,7,,,,,,,
201510005,2015,1,1,1.720993996,4,4,3,4,4,,,3,3,,5,4,6,2,,,5,,,,1,1,2,6,6,6,6,6,,,,,,,,,,,1,4,4,3,4,4,,,1,1,3,,3,,3,,,2,,,,,3,,1,2,5,3,5,2,2,3,4,1,,,,4,2,2,,6,,,,,,,
201510006,2015,1,1,0.740436971,3,3,3,2,3,,,2,3,,4,5,3,2,,,4,,,,1,2,3,3,3,6,5,3,4,,,,,,,,,,1,1,1,2,4,4,,,1,2,2,3,4,4,4,,,2,,,,,3,,2,2,3,4,5,5,1,2,5,1,,,,4,2,2,,8,,,,,,,
201510007,2015,1,1,0.740436971,5,2,2,3,5,,,4,3,,4,1,,2,,,,,,,1,1,1,,,,,,,,,,,,,,,,1,3,1,3,5,5,,,1,2,4,4,5,2,2,,,2,,,,,3,,2,2,3,1,3,5,1,3,4,1,,,,4,2,2,,5,,,,,,,
201510008,2015,1,1,0.695734024,4,,,,,,,,,,4,5,6,2,,,4,,,,4,5,2,5,5,4,5,4,5,6,3,1,1,5,2,1,1,,1,4,4,4,4,4,5,4,1,2,2,2,2,2,2,,,2,,,,,3,,1,2,6,4,3,6,1,3,4,1,,,,4,1,2,,2,,,,,,,
201510009,2015,1,1,0.85335201,3,,,,,,,,,,4,4,6,2,,,3,,,,1,1,1,,,,,,,6,5,1,2,5,1,1,4,,1,2,2,2,5,2,4,4,1,4,4,5,4,5,4,,,2,,,,,3,,2,1,4,1,7,4,2,3,4,1,,,,4,2,2,,5,,,,,,,
201510010,2015,1,1,1.720993996,4,4,4,3,3,,,4,4,,4,2,4,2,,,3,,,,1,1,1,,,,,,,,,,,,,,,,1,3,3,4,2,2,,,1,1,1,,,,,,,2,,,,,3,,3,2,4,2,8,2,1,3,1,1,,,,3,2,2,,10,,,,,,,
201510011,2015,1,1,0.695734024,4,,,,,,,,,,4,4,5,2,,,5,,,,1,2,1,4,,6,5,,4,4,5,1,2,1,1,1,1,,1,5,4,3,2,5,4,4,1,1,1,,,,,,,2,,,,,3,,1,2,6,4,8,6,2,3,4,1,,,,3,1,2,,5,,,,,,,
