year,zipcode,dage,dethnic,dlivedsf,deduc,dincome,movesf,ownrenhm,City,State,AvePrice,Lat,Lng
2017,94109,7,4,6,3,2,4,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,2,4,3,4,6,2,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,3,4,2,4,6,2,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,2,2,2,4,3,2,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,5,4,1,4,8,1,3,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,7,4,6,4,5,3,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,7,4,6,4,8,4,1,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,2,2,4,4,5,1,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,4,9,5,4,8,4,1,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,2,4,1,4,8,4,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,7,4,3,4,6,4,1,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,3,4,3,4,7,1,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,1,4,4,2,7,4,1,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,4,4,4,4,7,4,1,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,3,2,3,4,6,1,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,2,1,1,4,8,2,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,2,3,2,4,1,3,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,3,4,4,4,6,4,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,6,4,2,4,7,4,1,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,1,10,2,3,8,2,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,3,5,2,4,1,2,1,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,7,4,3,4,5,4,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,7,2,6,4,5,4,1,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,3,4,3,4,4,3,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,2,9,5,3,8,4,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,1,5,2,2,2,1,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,2,2,1,4,8,4,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,3,4,6,4,6,2,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,3,3,4,4,8,4,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,4,4,5,4,6,2,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,7,2,6,4,8,4,1,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,5,4,5,2,3,4,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,2,2,3,3,2,2,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,7,4,6,3,4,4,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,7,1,5,3,4,3,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,4,10,5,4,4,3,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,4,2,4,4,7,4,1,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,5,1,4,2,1,2,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,7,4,6,3,2,1,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,5,4,6,4,7,3,1,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,3,2,3,4,7,3,1,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,5,4,6,4,5,4,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,6,4,6,3,2,3,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,3,4,4,4,5,3,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,7,9,6,4,5,4,1,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,4,2,4,1,2,4,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,7,2,6,1,2,4,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,7,2,6,2,2,4,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,7,4,6,4,6,4,7,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,5,4,6,4,5,4,1,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,3,4,3,4,1,2,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,2,7,4,4,4,1,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,7,2,6,2,8,4,1,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,3,2,2,4,7,2,1,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,6,4,6,3,3,3,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,7,1,6,4,2,4,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,3,4,3,4,8,3,1,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,2,4,2,4,6,3,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,5,4,2,4,6,2,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,6,4,6,4,8,3,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,4,4,4,4,7,3,1,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,2,7,5,4,6,4,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,4,4,6,1,8,1,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,3,2,5,3,5,4,1,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,2,4,2,4,6,3,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
2017,94109,6,4,1,4,5,3,2,San Francisco,CA,3942708.3333333335,37.7929789,-122.4212424
